ICAO,Country,Type,Procedure
OAHR,Afghanistan,SID,ALEXY & SHINDAND 7B DEPS
OAHR,Afghanistan,SID,CHARN 7B DEP
OAHR,Afghanistan,SID,DAXUP & VELDT 2A DEPS
OAHR,Afghanistan,SID,DAXUP & VELDT 2D DEPS
OAHR,Afghanistan,SID,INITIAL CLIMB BASED ON NDB
OAHR,Afghanistan,SID,QALA & VELDT 7B DEPS
OAHR,Afghanistan,SID,SOKAM 2A DEP
OAHR,Afghanistan,SID,SOKAM 2D DEP
OAHR,Afghanistan,SID,SOKAM 7B DEP
OAHR,Afghanistan,STAR,KALOT 1A ARR
OAHR,Afghanistan,STAR,RUTAB & SARSA 1A ARRS
OAHR,Afghanistan,IAP,NDB A (CAT A & B)
OAHR,Afghanistan,IAP,NDB A (CAT C & D)
OAHR,Afghanistan,IAP,NDB Z RWY 18
OAHR,Afghanistan,IAP,VOR DME RWY 18
OAHR,Afghanistan,IAP,VOR DME RWY 36
OAKB,Afghanistan,SID,KABUL 4 DEP
OAKB,Afghanistan,SID,LOGAR 3 RNAV DEP
OAKB,Afghanistan,SID,TAPIS 2 RNAV DEP
OAKB,Afghanistan,IAP,ILS RWY 29
OAKB,Afghanistan,IAP,RNAV (GPS) RWY 29
OAKB,Afghanistan,IAP,VOR DME RWY 29
OAMS,Afghanistan,SID,AMDAR 3A & 3B RNAV DEPS
OAMS,Afghanistan,SID,"KHOLM 2A, 2D & 1E DEPS"
OAMS,Afghanistan,SID,KHOLM 3A & 3B RNAV DEPS
OAMS,Afghanistan,SID,"UKMUS 2A, 1B & 2D DEPS"
OAMS,Afghanistan,SID,UKMUS 3A & 3B RNAV DEPS
OAMS,Afghanistan,IAP,ILS OR LOC RWY 06
OAMS,Afghanistan,IAP,ILS OR LOC RWY 24
OAMS,Afghanistan,IAP,RNP RWY 06
OAMS,Afghanistan,IAP,RNP RWY 24
OAMS,Afghanistan,IAP,VOR RWY 06
OAMS,Afghanistan,IAP,VOR RWY 24
LAKU,Albania,SID,RINAV 1L RNAV DEP
LAKU,Albania,STAR,RINAV 1P RNAV ARR
LAKU,Albania,IAP,RNP RWY 19
LAKU,Albania,IAP,VISUAL APPROACH RWY 19
LATI,Albania,SID,"DIRES, DITAN & ELBAK 2R RNAV DEPS"
LATI,Albania,SID,"DIRES, DITAN & ELBAK 2W RNAV DEPS"
LATI,Albania,SID,"INLOT & RINAV 2R, ODRAS 2R & 2S RNAV DEPS"
LATI,Albania,SID,"INLOT, ODRAS & RINAV 2W RNAV DEPS"
LATI,Albania,SID,RWY 17 OMNI DEP
LATI,Albania,SID,RWY 35 OMNI DEP
LATI,Albania,STAR,"DIRES,DITAN,ELBAK,INLOT,ODRAS & PETAK 3M RNAV ARRS"
LATI,Albania,STAR,"DIRES,DITAN,ELBAK,INLOT,ODRAS & PETAK 3N RNAV ARRS"
LATI,Albania,IAP,ILS OR LOC RWY 17
LATI,Albania,IAP,RNP RWY 17
LATI,Albania,IAP,RNP RWY 35
LATI,Albania,IAP,VOR RWY 17
LATI,Albania,IAP,VOR RWY 35
DAAD,Algeria,IAP,NDB RWY 22
